a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
acpi 1.7-3
acpid 2.0.33-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
adwaita-icon-theme 41.0-1
alsa-card-profiles 1:0.3.49-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.6.1-1
alsa-oss 1.1.8-4
alsa-plugins 1:1.2.6-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
android-tools 31.0.3-3
android-udev 20220102-1
aom 3.3.0-1
apparmor 3.0.4-1
appimagelauncher 2.2.0-7
appstream 0.15.2-1
appstream-glib 0.7.18-3
appstream-qt 0.15.2-1
archlinux-appstream-data 20220327-1
archlinux-keyring 20220224-1
argon2 20190702-4
ark 21.12.3-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.0-2
atk 2.38.0-1
attica 5.92.0-1
attr 2.5.1-2
audit 3.0.7-1
avahi 0.8+22+gfd482a7-3
b43-fwcutter 019-3
baloo 5.92.0-1
baloo-widgets 21.12.3-1
bash 5.1.016-2
bashrc-manjaro 5.1.016-2
bc 1.07.1-4
binutils 2.38-3
bluedevil 1:5.24.4-1
bluez 5.64-2
bluez-libs 5.64-2
bluez-qt 5.92.0-1
boost-libs 1.78.0-1
botan 2.19.1-1
breeze 5.24.4-1
breeze-gtk 5.24.4-1
breeze-icons 5.92.0-1
brotli 1.0.9-7
btrfs-progs 5.16.2-1
bubblewrap 0.6.1-1
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.77-1
ca-certificates-utils 20210603-1
cairo 1.17.6-1
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-8
cdrdao 1.2.4-2
cdrtools 3.02a09-5
ceph-libs 15.2.14-5
cfitsio 1:4.1.0-1
chromaprint 1.5.1-3
cifs-utils 6.14-1
ckbcomp 1.207-1
clang 13.0.1-2
compiler-rt 13.0.1-1
confuse 3.3-3
convertlit 1.8-10
coreutils 9.0-2
cpupower 5.17-1
cronie 1.6.0-2
cryptsetup 2.4.3-2
cups 1:2.4.1-1
cups-filters 1.28.14-1
cups-pdf 3.0.1-6
cups-pk-helper 0.2.6-4
curl 7.82.0-2
dav1d 0.9.2-1
